"date","Apple","IBM","ITW","TESLA"
2012-07-03,21.407499,195.929993,52.52,6.132
2012-07-05,21.783571,195.289993,52.709999,6.246
2012-07-06,21.638571,191.410004,52.060001,6.198
2012-07-09,21.924643,189.669998,52.299999,6.298
2012-07-10,21.721786,186.259995,51.23,6.254
2012-07-11,21.586786,185.25,50.290001,6.302
2012-07-12,21.389286,183.089996,50.040001,6.54
2012-07-13,21.606071,186.009995,50.75,6.85
2012-07-16,21.675358,184.789993,50.450001,7.192
2012-07-17,21.676428,183.649994,50.5,6.67
2012-07-18,21.652143,188.25,52.740002,6.43
2012-07-19,21.940001,195.339996,53.639999,6.454
2012-07-20,21.582144,192.449997,53.290001,6.358
2012-07-23,21.565357,190.830002,53.57,6.132
2012-07-24,21.461428,190.339996,52.290001,5.968
2012-07-25,20.534643,191.080002,52.700001,5.79
2012-07-26,20.531429,193.949997,53.560001,5.626
2012-07-27,20.898571,196.389999,55.27,5.902
2012-07-30,21.251072,196.679993,54.580002,5.47
2012-07-31,21.812857,195.979996,54.34,5.484
2012-08-01,21.671785,195.179993,53.990002,5.25
2012-08-02,21.706785,194.449997,53.68,5.22
2012-08-03,21.989286,198.520004,55.619999,5.454
2012-08-06,22.233929,198.759995,55.57,5.654
2012-08-07,22.175358,199.929993,56.52,6.05
2012-08-08,22.137857,199.029999,56.880001,5.818
2012-08-09,22.168928,198.419998,56.799999,5.882
2012-08-10,22.203571,199.289993,57.310001,5.988
2012-08-13,22.5,199.009995,57.610001,6.234
2012-08-14,22.560358,198.289993,57.200001,5.884
2012-08-15,22.529642,198.399994,57.599998,5.88
2012-08-16,22.726429,200.839996,59.669998,6.06
2012-08-17,23.146786,201.220001,60,6.002
2012-08-20,23.755358,200.5,59.279999,5.902
2012-08-21,23.430714,198.649994,59.080002,5.822
2012-08-22,23.888214,197.25,58.759998,5.99
2012-08-23,23.665358,195.699997,58.880001,6.146
2012-08-24,23.686428,197.770004,59.68,5.9
2012-08-27,24.131428,195.690002,60.099998,5.664
2012-08-28,24.1,194.869995,59.34,5.738
2012-08-29,24.0525,195.080002,59.279999,5.682
2012-08-30,23.709642,193.369995,58.919998,5.682
2012-08-31,23.758572,194.850006,59.290001,5.704
2012-09-04,24.106071,194.539993,58.919998,5.628
2012-09-05,23.936787,195.039993,58.450001,5.588
2012-09-06,24.1525,199.100006,59.709999,5.71
2012-09-07,24.301428,199.5,60.599998,5.87
2012-09-10,23.669285,200.949997,60.389999,5.474
2012-09-11,23.592501,203.270004,60.32,5.56
2012-09-12,23.921072,203.770004,61.080002,5.656
2012-09-13,24.392143,206.360001,61.369999,5.896
2012-09-14,24.688572,206.809998,61.119999,6.078
2012-09-17,24.992144,207.149994,61.18,6.508
2012-09-18,25.068214,207.070007,61.330002,6.268
2012-09-19,25.075001,206.429993,61.200001,6.21
2012-09-20,24.953571,206.179993,61.080002,6.18
2012-09-21,25.003214,205.979996,60.810001,6.004
2012-09-24,24.671072,205.289993,60.619999,6.132
2012-09-25,24.055,204.979996,59.75,5.532
2012-09-26,23.756428,204,58.66,5.508
2012-09-27,24.332857,205.910004,59.16,5.698
2012-09-28,23.825001,207.449997,59.470001,5.856
2012-10-01,23.549643,210.470001,59.57,5.832
2012-10-02,23.618214,209.839996,58.810001,5.96
2012-10-03,23.980356,210.509995,59.860001,5.86
2012-10-04,23.814285,210.389999,60.599998,5.88
2012-10-05,23.306786,210.589996,60.66,5.778
2012-10-08,22.791786,209.820007,60.389999,5.85
2012-10-09,22.708929,207.990005,59.07,5.674
2012-10-10,22.889643,205.820007,58.279999,5.68
